timestamp,device_id,co2,voc,pm1,pm25,pm4,pm10,temp_c,rh,occupied
2020-06-01T09:01:43+00:00,home_sensor_01,,,,,,,26.0,68.96,0
2024-08-18T12:20:00+00:00,iot_sensor_01,968.42,257.86,,48.73,,17.7,26.44,50.97,1
2020-05-27T07:16:18+00:00,home_sensor_01,,,,,,,28.22,59.36,0
2020-06-01T11:00:35+00:00,home_sensor_01,,,,,,,28.31,61.97,0
2024-01-09T11:10:00+00:00,iot_sensor_01,647.92,468.7,,58.95,,95.97,19.69,42.05,1
2020-06-01T07:42:01+00:00,home_sensor_01,,,,,,,26.75,62.7,0
2020-05-27T09:10:33+00:00,home_sensor_01,,,,,,,27.13,63.73,0
2020-06-01T10:18:48+00:00,home_sensor_01,,,,,,,28.31,61.75,0
2020-05-28T12:19:33+00:00,home_sensor_01,,,,,,,30.43,55.65,0
2020-06-04T07:24:15+00:00,home_sensor_01,,,,,,,29.85,62.2,0
2020-06-04T19:51:39+00:00,home_sensor_01,,,,,,,31.58,53.86,1
2020-05-27T00:10:22+00:00,home_sensor_01,,,,,,,28.58,59.52,0
2020-05-27T07:40:17+00:00,home_sensor_01,,,,,,,27.32,62.15,0
2020-06-01T09:22:58+00:00,home_sensor_01,,,,,,,26.43,67.08,0
2024-12-30T04:45:00+00:00,iot_sensor_01,745.76,143.15,,37.47,,42.04,27.89,63.07,1
2024-08-29T11:55:00+00:00,iot_sensor_01,889.72,330.51,,19.76,,94.7,24.01,33.27,0
2020-05-28T12:16:46+00:00,home_sensor_01,,,,,,,30.43,55.74,0
2020-05-14T21:43:17+00:00,home_sensor_01,,,,,,,30.96,55.84,1
2020-05-28T11:39:48+00:00,home_sensor_01,,,,,,,30.58,58.08,0
2020-05-27T00:05:24+00:00,home_sensor_01,,,,,,,28.64,59.23,0
2025-01-20T05:50:00+00:00,iot_sensor_01,924.59,204.6,,35.93,,17.78,19.3,63.52,0
2020-06-04T18:27:34+00:00,home_sensor_01,,,,,,,31.48,52.3,1
2024-11-30T03:25:00+00:00,iot_sensor_01,481.82,314.94,,24.39,,98.54,21.08,46.88,1
2020-05-27T07:49:42+00:00,home_sensor_01,,,,,,,27.17,62.08,0
2020-05-25T23:56:09+00:00,home_sensor_01,,,,,,,31.34,51.94,1
2020-06-01T05:31:13+00:00,home_sensor_01,,,,,,,29.44,57.5,1
